iteration,batch,batch_loss,epoch_loss,elapsed_time
1,0,4.643142,4.643142,5.97
1,50,2.2159708,2.870262,60.11
1,100,2.2049527,2.5703578,104.55
1,150,2.1542382,2.4448516,145.26
1,200,1.9874198,2.362949,187.01
1,250,2.14223,2.307137,226.03
1,300,2.0974596,2.2682319,270.09
1,350,1.9484228,2.2345574,314.76
1,400,2.0046155,2.2110708,360.36
1,450,1.9780536,2.1878238,405.59
1,500,1.9553005,2.1663597,445.53
1,550,1.9058293,2.1467519,485.05
1,600,2.0666308,2.1311812,523.67
1,650,2.111702,2.1158326,561.75
1,700,1.982383,2.102889,599.77
1,750,1.9510779,2.0885768,633.86
1,800,1.9413549,2.0764217,668.91
1,850,1.8077111,2.0660565,704.26
1,900,1.7241707,2.0559404,738.75
1,950,1.8095038,2.047242,774.66
1,1000,1.5794253,2.0377054,808.79
1,1050,2.0444324,2.0288002,842.84
1,1100,1.9776082,2.0211055,878.28
1,1150,1.8917665,2.0129685,913.78
1,1200,1.7279129,2.005737,949.37
1,1250,1.4560432,1.9985082,984.47
1,1300,1.9203521,1.9931062,1020.38
1,1350,1.9927514,1.9861902,1055.24
1,1400,1.7122239,1.9809703,1090.52
1,1450,1.8600943,1.9745003,1124.67
1,1500,1.9238843,1.9697896,1159.74
1,1550,1.7156025,1.9645745,1195.5
1,1600,1.654268,1.9598534,1231.27
1,1650,1.8005139,1.9544446,1267.16
1,1700,1.7461708,1.949529,1306.3
1,1750,1.784148,1.9444011,1357.18
1,1800,1.7558321,1.9397395,1403.19
1,1850,2.028156,1.9353176,1450.15
1,1900,1.8091103,1.9303204,1495.88
1,1950,1.6553595,1.9261563,1541.95
1,2000,1.8756831,1.9214811,1588.35
1,2050,1.6750376,1.9163929,1635.42
1,2100,1.7207569,1.9119679,1681.48
1,2150,1.8304582,1.9071056,1727.17
1,2200,1.766036,1.9025818,1774.03
1,2250,1.606489,1.8979878,1820.76
1,2300,1.7166009,1.8937979,1867.69
1,2350,1.7669455,1.8894582,1913.34
1,2400,1.6028341,1.8847483,1959.12
1,2450,1.6595163,1.8812191,2005.78
1,2500,2.006935,1.877582,2051.66
1,2550,1.6587431,1.8739779,2095.94
1,2600,1.6263688,1.870631,2144.43
1,2650,1.4951578,1.8664694,2188.98
1,2700,1.6616116,1.8618368,2234.48
1,2750,1.3840106,1.8579277,2280.49
1,2800,1.8688005,1.853907,2329.28
1,2850,1.7209694,1.8499246,2375.83
1,2900,1.5616224,1.8461047,2420.73
1,2950,1.5991076,1.8424097,2466.6
1,3000,1.7683429,1.8392227,2513.17
1,3050,1.4947299,1.8360159,2558.53
1,3100,1.4623302,1.832793,2606.44
1,3150,1.5640445,1.8299739,2651.87
1,3200,1.5579222,1.8272276,2697.21
1,3250,1.485712,1.8242166,2743.21
1,3300,1.6047215,1.8209672,2791.7
1,3350,1.4344505,1.8178424,2839.23
1,3400,1.8719308,1.8149784,2885.87
1,3450,1.5372087,1.8116249,2931.84
1,3500,1.6444174,1.8088487,2978.77
1,3550,1.8882341,1.8062257,3025.95
1,3600,1.5151365,1.8033063,3071.47
1,3650,1.6028632,1.8003386,3117.49
1,3700,1.4825699,1.7975236,3165.8
1,3750,1.4869436,1.7946037,3210.79
1,3800,1.6017456,1.7915471,3256.51
1,3850,1.7348747,1.7886169,3306.16
1,3900,1.5263863,1.7855252,3353.02
1,3950,1.5437253,1.7827669,3398.87
1,4000,1.3445659,1.7800391,3445.13
1,4050,1.6397766,1.776909,3491.82
1,4100,1.374521,1.7744371,3537.0
1,4150,1.5105603,1.7717267,3582.5
1,4200,1.5998738,1.7691699,3628.27
1,4250,1.4863513,1.7666705,3675.07
1,4300,1.4984376,1.7640979,3720.38
1,4350,1.673111,1.7615628,3764.96
1,4400,1.4630923,1.7589123,3810.87
1,4450,1.785191,1.756416,3855.28
1,4500,1.496537,1.754087,3901.13
1,4550,1.5760558,1.7518291,3945.77
1,4600,1.4398713,1.7492704,3992.16
1,4650,1.478241,1.7469112,4037.22
1,4700,1.7579875,1.7443799,4082.76
1,4750,1.492817,1.7421575,4126.88
1,4800,1.2994334,1.7400948,4171.54
1,4850,1.6873347,1.7379355,4217.33
1,4900,1.4983544,1.7358133,4263.48
1,4950,1.3895079,1.7334301,4313.65
1,5000,1.522811,1.7312862,4359.75
1,5050,1.4755275,1.7290783,4406.17
1,5100,1.6549766,1.7271008,4451.27
1,5150,1.4606184,1.7247908,4497.31
1,5200,1.6958852,1.7225462,4543.42
1,5250,1.5486461,1.7203687,4590.3
1,5300,1.4353126,1.7181797,4637.5
1,5350,1.7232187,1.7160434,4684.66
1,5400,1.5447493,1.7139381,4731.47
1,5450,1.4082348,1.7118065,4780.07
1,5500,1.3650354,1.7099146,4824.66
1,5550,1.4635766,1.7079967,4870.76
2,0,1.4390273,1.4390273,4948.07
2,50,1.3707833,1.4856076,4995.58
2,100,1.2260747,1.4728296,5040.88
2,150,1.3715466,1.4633863,5089.0
2,200,1.3388467,1.4610264,5133.35
2,250,1.4548291,1.4579968,5179.94
2,300,1.3836191,1.4558978,5227.99
2,350,1.4283552,1.4527999,5276.28
2,400,1.5297389,1.4492522,5322.92
2,450,1.6307023,1.4485933,5368.63
2,500,1.6602373,1.4492661,5414.89
2,550,1.7378525,1.4496449,5461.82
2,600,1.4739666,1.449329,5507.66
2,650,1.5771012,1.4498205,5554.18
2,700,1.4806714,1.4485354,5599.59
2,750,1.422566,1.4490134,5645.72
2,800,1.2370219,1.449344,5691.38
2,850,1.327646,1.4473537,5737.39
2,900,1.4133003,1.4462616,5782.3
2,950,1.4435904,1.4444896,5827.95
2,1000,1.3763384,1.4443402,5874.43
2,1050,1.5891294,1.4444184,5920.09
2,1100,1.5477247,1.4444749,5965.36
2,1150,1.2780421,1.4439578,6010.84
2,1200,1.2164977,1.4437784,6056.3
2,1250,1.3644376,1.4423152,6102.94
2,1300,1.301819,1.4411016,6149.58
2,1350,1.3650081,1.4408612,6196.53
2,1400,1.3619831,1.4398217,6241.67
2,1450,1.5602808,1.438967,6291.01
2,1500,1.4012873,1.4391028,6337.07
2,1550,1.3470141,1.437805,6383.35
2,1600,1.4189956,1.4374472,6429.74
2,1650,1.3696861,1.4369171,6475.75
2,1700,1.3593011,1.436129,6521.16
2,1750,1.4676657,1.4354771,6567.76
2,1800,1.2834424,1.4346807,6612.7
2,1850,1.2633531,1.4343687,6657.92
2,1900,1.5181352,1.4332435,6705.05
2,1950,1.69702,1.4328429,6751.06
2,2000,1.5761852,1.4323503,6798.23
2,2050,1.5276873,1.431865,6843.07
2,2100,1.4553518,1.4311638,6887.68
2,2150,1.2656326,1.429915,6933.03
2,2200,1.3718576,1.4290822,6979.36
2,2250,1.509891,1.4286335,7025.23
2,2300,1.4008489,1.428186,7070.28
2,2350,1.3688488,1.4280665,7115.15
2,2400,1.5710579,1.4276601,7160.45
2,2450,1.3262957,1.4272168,7205.21
2,2500,1.3091552,1.4262456,7253.71
2,2550,1.4443272,1.4258574,7299.42
2,2600,1.6776887,1.4250848,7344.52
2,2650,1.3635747,1.42473,7394.28
2,2700,1.3386831,1.4241523,7439.34
2,2750,1.5387106,1.4236987,7486.07
2,2800,1.4603856,1.4239032,7531.83
2,2850,1.5141127,1.4229828,7575.97
2,2900,1.2705815,1.422284,7624.49
2,2950,1.4375757,1.4213504,7670.2
2,3000,1.3108482,1.4210194,7715.33
2,3050,1.6293185,1.4204676,7760.25
2,3100,1.3425094,1.4202818,7806.91
2,3150,1.5402753,1.4197836,7852.41
2,3200,1.5107162,1.4190606,7897.92
2,3250,1.4897268,1.4184698,7944.0
2,3300,1.5813999,1.4179766,7990.07
2,3350,1.419696,1.4178246,8034.92
2,3400,1.436085,1.4172971,8081.54
